allele_accession_id,metadata,parameter_association_stable_id,gene_accession_id,sub_term_description,project_name,genetic_background,anatomy_term,strain_accession_id,litter_id,project_id,phenotyping_center,time_point,file_type,external_sample_id,download_file_path,intermediate_anatomy_term,sub_term_name,developmental_stage_name,datasource_name,parameter_association_sequence_id,id,procedure_group,anatomy_term_synonym,pipeline_stable_id,parameter_stable_id,anatomy_id,parameter_id,age_in_days,date_of_experiment,selected_top_level_anatomy_id,weight,pipeline_name,procedure_stable_id,observation_type,weight_parameter_stable_id,text_value,developmental_stage_acc,procedure_name,phenotyping_center_id,production_center_id,weight_date,date_of_birth,procedure_id,gene_symbol,metadata_group,biological_sample_group,pipeline_id,sequence_id,selected_top_level_anatomy_term,biological_sample_id,biological_model_id,weight_days_old,discrete_point,datasource_id,experiment_source_id,experiment_id,data_point,sex,production_center,colony_id,parameter_name,parameter_association_value,allele_symbol,age_in_weeks,zygosity,intermediate_anatomy_id,strain_name,_version_,data_type,parameter_association_name,sub_term_id,category,allelic_composition
"","Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-07-02T10:39:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-07-02T10:39:00+01:00,Date of measurement = 2012-07-02,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 788D9,Blood collection experimenter ID = 996A7",,,,MGP,involves: C57BL/6N,,MGI:2159965,192896,8,WTSI,,,1095186,,,,postnatal,IMPC,,31127315,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,112,2012-07-02T00:00:00Z,,23.5,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-07-02T00:00:00Z,2012-03-12T00:00:00Z,62,,c5d5b3349a0014cdac742fb284d786ed,control,8,,,101046,39205,112,,22,323251,1697585,11.48,female,WTSI,MEBV,Red blood cell count,,,16,homozygote,,C57BL/6N,1629178061850148868,FLOAT,,,,
"","Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-07-02T10:32:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-07-02T10:32:00+01:00,Date of measurement = 2012-07-02,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 788D9,Blood collection experimenter ID = 996A7",,,,MGP,involves: C57BL/6N,,MGI:2159965,192893,8,WTSI,,,1095169,,,,postnatal,IMPC,,31138226,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,112,2012-07-02T00:00:00Z,,23.2,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-07-02T00:00:00Z,2012-03-12T00:00:00Z,62,,c5d5b3349a0014cdac742fb284d786ed,control,8,,,101139,39205,112,,22,323192,1698244,12.23,female,WTSI,MEBV,Red blood cell count,,,16,homozygote,,C57BL/6N,1629178063082225669,FLOAT,,,,
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-04-17T09:38:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-04-17T09:38:00+01:00,Date of measurement = 2012-04-17,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 6EA2E,Blood collection experimenter ID = 68CE1",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,181136,8,WTSI,,,1026080,,,,postnatal,IMPC,,35043510,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,111,2012-04-17T00:00:00Z,,30.1,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-04-17T00:00:00Z,2011-12-28T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68043,40654,111,,22,312033,1971204,8.51,male,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178550066085890,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-12-27T09:39:00Z,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-12-27T09:39:00Z,Date of measurement = 2012-12-27,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 88AE6,Blood collection experimenter ID = 428FC",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,221942,8,WTSI,,,1255242,,,,postnatal,IMPC,,35068624,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,112,2012-12-27T00:00:00Z,,24.0,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-12-27T00:00:00Z,2012-09-06T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68075,40654,112,,22,348526,1972827,9.34,female,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,16,homozygote,,C57BL/6N,1629178552692768768,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-09-05T11:14:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-09-05T11:14:00+01:00,Date of measurement = 2012-09-05,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 88AE6,Blood collection experimenter ID = 4E4B5",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,203691,8,WTSI,,,1156922,,,,postnatal,IMPC,,35071267,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,109,2012-09-05T00:00:00Z,,25.4,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-09-05T00:00:00Z,2012-05-19T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,67982,40654,109,,22,332043,1972979,9.55,female,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178552961204231,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-07-17T09:42:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-07-17T09:42:00+01:00,Date of measurement = 2012-07-17,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 788D9,Blood collection experimenter ID = 8E98D",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,195610,8,WTSI,,,1112245,,,,postnatal,IMPC,,35118712,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,110,2012-07-17T00:00:00Z,,30.6,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-07-17T00:00:00Z,2012-03-29T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68082,40654,110,,22,324999,1975743,9.34,male,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178557791993861,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-07-17T09:45:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-07-17T09:45:00+01:00,Date of measurement = 2012-07-17,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 788D9,Blood collection experimenter ID = 8E98D",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,195610,8,WTSI,,,1112246,,,,postnatal,IMPC,,35093643,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,110,2012-07-17T00:00:00Z,,28.2,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-07-17T00:00:00Z,2012-03-29T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68133,40654,110,,22,324968,1974216,9.4,male,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178558144315402,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-12-12T09:43:00Z,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-12-12T09:43:00Z,Date of measurement = 2012-12-12,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 4E4B5,Blood collection experimenter ID = E57C6",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,219946,8,WTSI,,,1244105,,,,postnatal,IMPC,,35024362,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,110,2012-12-12T00:00:00Z,,29.1,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-12-12T00:00:00Z,2012-08-24T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68119,40654,110,,22,345882,1969730,9.99,male,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178548295041026,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
MGI:4842259,"Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-09-05T11:10:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-09-05T11:10:00+01:00,Date of measurement = 2012-09-05,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 88AE6,Blood collection experimenter ID = 4E4B5",,MGI:1917004,,MGP,involves: C57BL/6N,,MGI:2159965,203690,8,WTSI,,,1162457,,,,postnatal,IMPC,,35025738,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,109,2012-09-05T00:00:00Z,,23.1,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-09-05T00:00:00Z,2012-05-19T00:00:00Z,62,Fbxo7,c5d5b3349a0014cdac742fb284d786ed,experimental,8,,,68211,40654,109,,22,332067,1969854,9.6,female,WTSI,MEBV,Red blood cell count,,Fbxo7<tm1a(EUCOMM)Wtsi>,15,homozygote,,C57BL/6N,1629178548536213506,FLOAT,,,,Fbxo7<tm1a(EUCOMM)Wtsi>/Fbxo7<tm1a(EUCOMM)Wtsi>
"","Equipment ID = scil Vet abc hematology analyzer,Equipment manufacturer = Scil animal care company Gmbh,Equipment model = Scil Vet abc,Anesthesia used for blood collection = Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Method of blood collection = Retro-orbital puncture,Anticoagulant = EDTA,Blood collection tubes = Kabe Labortechnik 200ul EDTA,Date and time of sacrifice = 2012-07-02T10:35:00+01:00,Samples kept on ice between collection and analysis = No,ID for blood collection SOP = ESLIM_024_001,Date and time of blood collection = 2012-07-02T10:35:00+01:00,Date of measurement = 2012-07-02,Chip card number = Mouse Card (E0401091230),Storage temperature from blood collection until measurement = 18-22,Blood analysis experimenter ID = 788D9,Blood collection experimenter ID = 996A7",,,,MGP,involves: C57BL/6N,,MGI:2159965,192896,8,WTSI,,,1095185,,,,postnatal,IMPC,,31153006,IMPC_HEM,,MGP_001,IMPC_HEM_002_001,,2272,112,2012-07-02T00:00:00Z,,22.3,MGP Select Pipeline,IMPC_HEM_001,unidimensional,IMPC_BWT_001_001,,EFO:0002948,Hematology,3,3,2012-07-02T00:00:00Z,2012-03-12T00:00:00Z,62,,c5d5b3349a0014cdac742fb284d786ed,control,8,,,93928,39205,112,,22,323250,1699120,11.08,female,WTSI,MEBV,Red blood cell count,,,16,homozygote,,C57BL/6N,1629178064764141569,FLOAT,,,,
