mpath_term_name,allele_accession_id,intermediate_mp_term_id,project_fullname,project_name,percentage_change,strain_accession_id,top_level_anatomy_term_id,assertion_type_id,phenotyping_center,top_level_anatomy_term_name,pipeline_stable_key,pipeline_stable_id,parameter_stable_id,life_stage_name,mp_term_name,top_level_mp_term_id,top_level_mp_term_name,intermediate_anatomy_term_id,assertion_type,pipeline_name,procedure_stable_id,life_stage_acc,resource_fullname,procedure_name,parameter_stable_key,anatomy_term_name,intermediate_anatomy_term_name,intermediate_mp_term_name,marker_symbol,procedure_stable_key,mpath_term_id,mp_term_id,anatomy_term_id,p_value,marker_accession_id,sex,colony_id,parameter_name,effect_size,allele_name,doc_id,allele_symbol,ontology_db_id,zygosity,strain_name,_version_,resource_name,statistical_method
hypoplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_021_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4442,,,,Fbxo7,102,MPATH:133,,,,MGI:1917004,male,MEBV,Thymus - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5446,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171610943489,IMPC,Unknown
hypoplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_021_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4442,,,,Fbxo7,102,MPATH:133,,,,MGI:1917004,male,MEBV,Thymus - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5452,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171610943490,IMPC,Unknown
hypoplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_021_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4442,,,,Fbxo7,102,MPATH:133,,,,MGI:1917004,female,MEBV,Thymus - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5458,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171610943491,IMPC,Unknown
hypoplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_021_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4442,,,,Fbxo7,102,MPATH:133,,,,MGI:1917004,female,MEBV,Thymus - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5463,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171610943492,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_093_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4514,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,male,MEBV,Spleen - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5448,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171617234956,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_232_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,6201,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,male,MEBV,Bone marrow - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5450,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171617234957,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_093_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4514,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,male,MEBV,Spleen - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5454,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171618283520,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_232_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,6201,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,male,MEBV,Bone marrow - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5456,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171618283521,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_093_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,4514,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,female,MEBV,Spleen - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5460,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171618283522,IMPC,Unknown
hyperplasia,MGI:4842259,,Wellcome Trust Sanger Institute Mouse Genetics Project,MGP,,MGI:2159965,,ECO:0000218,WTSI,,15,MGP_001,IMPC_HIS_232_001,postnatal,,,,,manual,MGP Select Pipeline,IMPC_HIS_001,EFO:0002948,International Mouse Phenotyping Consortium,Histopathology,6201,,,,Fbxo7,102,MPATH:134,,,,MGI:1917004,female,MEBV,Bone marrow - MPATH process term,,"targeted mutation 1a, Wellcome Trust Sanger Institute",5461,Fbxo7<tm1a(EUCOMM)Wtsi>,24,homozygote,C57BL/6N,1629181171618283523,IMPC,Unknown
